,name,street_type
284,Andra Långgatan,gatan
285,Fjärde Långgatan,gatan
286,Plantagegatan,gatan
287,Universitetsplatsen,other
288,Norra Gatan,other
289,PV Gatan,other
290,Karl Gustavsgatan,gatan
291,Vasaplatsen,other
292,Thorildsgatan,gatan
293,Föreningsgatan,gatan
294,Erik Dahlbergsgatan,gatan
295,Storgatan,gatan
296,Viktoriagatan,gatan
297,Södra Viktoriagatan,gatan
298,Viktoriabron,other
299,Bellmansgatan,gatan
300,Haga Kyrkogata,gatan
301,Haga Kyrkoplan,other
302,Övre Fogelsbergsgatan,gatan
303,Västergatan,gatan
304,Frihamnsmotet,motet
305,Frihamnen,other
306,Ekedalsgatan,gatan
307,Hålekärrsgatan,gatan
308,Söderlingsgatan,gatan
309,Spetsbergsgatan,gatan
310,Hjortens trappor,other
311,Myntgatan,gatan
312,Kungsgatan,gatan
313,Vitögatan,gatan
314,Hjuviksvägen,vägen
315,Bergspromenaden,other
316,Övre Majorsgatan,gatan
317,Övre Djupedalsgatan,gatan
318,Prinsgatan,gatan
319,Värmlandsgatan,gatan
320,Vegagatan,gatan
321,Bangatan,gatan
322,Kastellgatan,gatan
323,Majorsgatan,gatan
324,Risåsgatan,gatan
325,Djupedalsgatan,gatan
326,Nedre Matrosgatan,gatan
327,Konstepidemins väg,vägen
328,Brunnsgatan,gatan
329,Landsvägsgatan,gatan
330,Leijonsparres väg,vägen
331,Hamneskärsgatan,gatan
332,Vingagatan,gatan
333,Kjellestadsgatan,gatan
334,Nordenskiöldsgatan,gatan
335,Järntorget,torget
336,Stora Dammenstigen,other
337,Slottsskogspromenaden,other
338,A O Elliots Väg,other
339,Fågeldammsvägen,vägen
340,Museivägen,vägen
341,Björngårdsvägen,vägen
342,Hålekärrsbacken,backen
343,August Kobbs stig,other
344,Björn Hedvalls stig,other
345,Dufvas backe,other
346,Säldammsbacken,backen
347,Vedbacken,backen
348,Bragestigen,other
349,Linnéplatsen,other
350,Rosengatan,gatan
351,Linnégatan,gatan
352,Kämpegatan,gatan
353,Djurgårdsgatan,gatan
354,Fiskhamnsmotet,motet
355,Fiskhamnsgatan,gatan
356,Kolumbusgatan,gatan
357,Amiralitetsgatan,gatan
358,Kommendörsgatan,gatan
359,Dahlströmsgatan,gatan
360,Fredbergsgatan,gatan
361,Amerikagatan,gatan
362,Oljekvarnsgatan,gatan
363,Stenklevsgatan,gatan
364,Koopmansgatan,gatan
365,Stigbergstorget,torget
366,Allmänna vägen,vägen
367,Pölgatan,gatan
368,Gamla Varvsgatan,gatan
369,Karl Johansgatan,gatan
370,Delawaregatan,gatan
371,Djurgårdsplatsen,other
372,Vargögatan,gatan
373,Haråsgatan,gatan
374,Kaptensgatan,gatan
375,Klareborgsgatan,gatan
376,Standargatan,gatan
377,Ankargatan,gatan
378,Skeppsgossegatan,gatan
379,Mors backe,other
380,Paternostergatan,gatan
381,Såggatan,gatan
382,Kabyssgatan,gatan
383,Toppsegelsgatan,gatan
384,Godhemsplatsen,other
385,Tellgrensgatan,gatan
386,Galateagatan,gatan
387,Krukmakaregatan,gatan
388,Mariebergsgatan,gatan
389,Lotsgatan,gatan
390,Styrmansgatan,gatan
391,Godhemsgatan,gatan
392,Ärlegatan,gatan
393,Kabelgatan,gatan
394,Kravellgatan,gatan
395,Vantgatan,gatan
396,Stortoppsgatan,gatan
397,Kustgatan,gatan
398,Blåsutgatan,gatan
399,Seglaregatan,gatan
400,Smålandsgatan,gatan
401,Västgötagatan,gatan
402,Hallandsgatan,gatan
403,Wadmansgatan,gatan
404,Hedåsgatan,gatan
405,Gärdsåsgatan,gatan
