,street_names
844,Kopparormsgatan
845,Skillnadsgatan
846,Prästgårdsgatan
847,Lövängsgatan
848,Claessonsgatan
849,Welandergatan
850,Norströmsgatan
851,Birkagatan
852,Riddaregatan
853,Friarelyckan
854,Svankällevägen
855,Gerrebacken
856,Krattskogsvägen
857,Töltvägen
858,Travarevägen
859,Mobergets väg
860,Smöjträvägen
861,Draghästvägen
862,Ridhästvägen
863,Södra Stallbacken
864,Bruntebacken
865,Lilla Sabbatsvägen
866,Svankälleliden
867,Mysternavägen
868,Lilla Mysternavägen
869,Högmossevägen
870,Ingåsvägen
871,Laggvägen
872,Mystängen
873,Ponnybacken
874,Fjordhästvägen
875,Fyrspannvägen
876,Fyrspannsvägen
877,Prilyckegatan
878,Lillekärr Södra
879,Kärravägen
880,Fredholmsgatan
881,Kärra Kapellväg
882,Transportgatan
883,Lerskäddegatan
884,Persgatan
885,Vävlagaregatan
886,Sankt Pauligatan
887,Lundgatan
888,Mäster Johansgatan
889,Svensksundsgatan
890,Svenslyckegatan
891,Rödtungegatan
892,Källängsgatan
893,Piggvarsgatan
894,Rödingsgatan
895,Lagmansgatan
896,Segerlindsgatan
897,Råstensgatan
898,Tingvallsvägen
899,Kaggeledsgatan
900,Kaggeledsbacken
901,Uddeholmsgatan
902,Bogärdesgatan
903,Nedergårdsgatan
904,Sparrgrensgatan
905,Hästhovsgatan
906,Hällskriftsgatan
907,Karl Staaffsgatan
908,Scholandersgatan
909,Toleredsgatan
910,Fjällviolen
911,Fjällveronikan
912,Fjällsyran
913,Fjällsippan
914,Fjällnejlikan
915,Fjällkåpan
916,Fjällhavren
917,Fjällgrönan
918,Fjällbruden
919,Mölnesjögatan
920,Fjällblomman
921,Fjällbinkan
922,Titteridammshöjden
923,Höstvädersgatan
924,Blidvädersgatan
925,Stormvädersgatan
926,Regnvädersgatan
927,Vårvädersgatan
928,Snövädersgatan
929,Solrosgatan
930,Byfogdegatan
931,Lemmingsgatan
932,Björcksgatan
933,Hultebacken
934,Lillatorpsgatan
935,Kvarngärdesgatan
936,Bäckeliden
937,Olshammarsgatan
938,Båtsman Hisings Gata
939,Burmans Gata
940,Von Seths Gata
941,Novembergatan
942,Oktobergatan
943,Junigatan
944,Augustigatan
945,Aprilgatan
946,Gräsmånadsgatan
947,Hömånadsgatan
948,Julaftonsgatan
949,Morgongatan
950,Skymningsgatan
951,Annandagsgatan
952,Brittsommargatan
953,Planetgatan
954,Valdemar Noréns Gata
955,Askims Verkstadsväg
956,Hantverksvägen
957,Kobbegården
958,Kobbeslätten
959,Maskingränd
960,Hörsalsvägen
961,Flöjtgatan
962,Angeredsleden
963,Trollhätteleden
964,Sankt Sigfrids Plan
965,Orangerigatan
966,Spaljégången
967,Överåsgatan
968,Carlbergsgatan
969,Prospect Hillgatan
970,Prytzgatan
971,Rangeltorpsgatan
972,Margretelundsgatan
973,Drakenbergsgatan
974,Ovädersgatan
975,Ellesbobacken
976,Rödbo Löparegata
977,Rödbo Idrottsgata
978,Rödbo Stafettgata
979,Jordfallsbron
980,Lilla Kongahällavägen
981,Lantmilsgatan
982,Skogsmilsgatan
983,Fjärdingsgatan
984,Blåklockegatan
985,Gamla Björlandavägen
986,Gullrisgatan
987,Björnsonsgatan
988,Ibsensgatan
989,Magnetgatan
990,Generatorsgatan
991,Ångpannegatan
992,Turbingatan
993,Fredsbron
994,Kryddhyllan
995,Kanelgatan
996,Timjansgatan
997,Pimpinellagatan
998,Malörtsgatan
999,Salviagatan
1000,Kryddvägen
1001,Ingefärsgatan
1002,Röhssgatan
1003,Bärby korsväg
1004,Säve stationsväg
1005,Snarberget
1006,Tångelund
1007,Tångenvägen
1008,Tångengården
1009,Hedelundsvägen
1010,Almhöjdsvägen
1011,Kålsängegatan
1012,Petters Hage
1013,Glöstorpsvägen
1014,Ankarhjelmsvägen
1015,Nostravägen
1016,Åslyckevägen
1017,Utängarna
1018,Ekehagsvägen
1019,Ängstuvevägen
1020,Ängstigen
1021,Mosstuvevägen
1022,Floravägen
1023,Håkansdal
1024,Hagelidsvägen
1025,Silverfyndsvägen
1026,Gunnestorps bygata
1027,Strandskärsvägen
1028,Tonfiskgatan
1029,Sjötungegatan
1030,Bergtungegatan
1031,Backadalen
1032,Lisa Sass Gata
1033,Mötesplatsen
1034,Vallpojksgatan
1035,Stängselgatan
1036,Fögderigatan
1037,Tubogatan
1038,Nordanvindsgatan
1039,Kultjegatan
1040,Anna Lesselsgatan
1041,Foderbetsgatan
1042,Tröskaregatan
1043,Teologgatan
1044,Monteliusgatan
1045,Sehlstedtsgatan
1046,Bååthsgatan
1047,Fryxellsgatan
1048,Harald Hjärnesgatan
1049,Gästgivaregatan
1050,Kopparslagaregatan
1051,Volrat Thamsgatan
1052,Wallenbergsgatan
1053,Vedhuggargatan
1054,Högströmsgatan
1055,Solgårdsgatan
1056,Glasmästaregatan
1057,Solhusgatan
1058,Bredfjällsgatan
1059,Västerslänt
1060,Villavallen
1061,Blixtgatan
1062,Sandeslättskroken
1063,Hammarkroken
1064,Kungsbackagatan
1065,Söderbergsgatan
1066,Tyggårdsgatan
1067,Gustaf Adolfs Torg
1068,Nedre Kvarnbergsgatan
1069,Övre Spannmålsgatan
1070,Mjölnaregatan
1071,Mätaregatan
1072,Tyska Bron
1073,Spannmålsgatan
1074,Ahrenbergsgatan
1075,Ernst Torulfsgatan
1076,Lydinghielmsgatan
1077,Bromeliusgatan
1078,Zachrissonsgatan
1079,Fräntorpsgatan
1080,Hembyggarevägen
1081,Hemgärdesvägen
1082,Brattåskärrsvägen
